,Brand,Capacity,Door_Type,Cool_type,Star_rating,Digital_inverter,Rating,No_of_rating,No_of_review,Compressor_type,Built_in_stablizer,Product_warranty,Compressor_warranty,Price,Original_price,Discount
290,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"3,566 Ratings",237 Reviews,Normal Compressor,,, 10 ,"₹16,390","₹22,999",28% off
291,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"1,872 Ratings",198 Reviews,Normal Compressor,yes,2 Years, 10 ,"₹12,790","₹17,000",24% off
292,Haier,358 L,Double Door,,3 Star,no,4.3,"5,271 Ratings",346 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹37,990","₹61,590",38% off
293,Haier,300 L,Double Door,,2 Star,no,4.2,"12,919 Ratings",878 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹30,990","₹47,990",35% off
294,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,96 Ratings,4 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹9,990","₹13,490",25% off
295,Haier,596 L,,,,no,4.5,"1,011 Ratings",121 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹69,980","₹1,21,890",42% off
296,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"2,836 Ratings",310 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹12,590","₹25,990",51% off
297,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,"65,317 Ratings","4,293 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹17,990","₹21,999",18% off
298,Whirlpool,207 L,Single Door, Direct Cool,3 Star,no,4.3,473 Ratings,66 Reviews,,yes,2 Years, 10 ,"₹16,990","₹21,800",22% off
299,Godrej,436 L,Double Door,,2 Star,yes,4.1,391 Ratings,33 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹42,990","₹67,990",36% off
300,CANDY,240 L,Double Door,,2 Star,no,4.3,"13,765 Ratings","1,151 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹18,990","₹26,490",28% off
301,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"25,002 Ratings","2,543 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹17,490","₹22,999",23% off
302,Panasonic,308 L,Double Door,,3 Star,yes,4.3,550 Ratings,82 Reviews,,yes,1 Year, 10 ,"₹29,890","₹45,500",34% off
303,Whirlpool,265 L,Double Door,,3 Star,no,3.9,"25,002 Ratings","2,543 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹28,390","₹36,000",21% off
304,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,32 Ratings,4 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹19,990","₹30,999",35% off
305,Whirlpool,215 L,Triple Door,,,no,4.3,"3,795 Ratings",339 Reviews,Inverter Compressor,,, 10 ,"₹23,990","₹32,150",25% off
306,CANDY,602 L,,,,no,4.6,"5,271 Ratings",346 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹49,990","₹69,490",28% off
307,Whirlpool,215 L,Triple Door,,,no,4.3,"19,653 Ratings","1,211 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹23,990","₹30,150",20% off
308,Kenstar,208 L,Single Door, Direct Cool,3 Star,no,4.3,"15,637 Ratings","1,110 Reviews",Normal Compressor,yes,1 Years, 10 ,"₹14,290","₹27,990",48% off
309,Haier,240 L,Double Door,,2 Star,no,4.3,54 Ratings,5 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹22,790","₹31,490",27% off
310,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"15,637 Ratings","1,110 Reviews",Normal Compressor,,, 10 ,"₹11,690","₹24,990",53% off
311,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,15 Ratings,1 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹12,790","₹17,000",24% off
312,Whirlpool,184 L,Single Door, Direct Cool,5 Star,no,4.3,"65,317 Ratings","4,293 Reviews",Reciprocating Compressor,yes,1 Year, 9 ,"₹16,490","₹21,450",23% off
313,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,,"25,002 Ratings","2,543 Reviews",Digital Inverter Compressor,yes,1 Year, 20 ,"₹14,990","₹20,500",26% off
314,SAMSUNG,236 L,Double Door,,2 Star,no,4.4,"1,568 Ratings",162 Reviews,Normal Compressor,yes,1 Year, 9 ,"₹27,000","₹35,990",24% off
315,Whirlpool,184 L,Single Door, Direct Cool,3 Star,no,,19 Ratings,0 Reviews,Reciprocating Compressor,yes,1 Year, 9 ,"₹14,190","₹18,350",22% off
316,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,4.3,"15,637 Ratings","1,110 Reviews",Fixed Speed Compressor,yes,1 Year, 10 ,"₹15,490","₹21,750",28% off
317,Godrej,97 L,Single Door, Direct Cool,1 Star,no,4.4,"3,566 Ratings",237 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹11,999","₹14,500",17% off
318,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,625 Ratings,32 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹16,390","₹22,999",28% off
319,Whirlpool,215 L,Triple Door,,,no,4.3,"15,637 Ratings","1,110 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹23,990","₹32,150",25% off
320,Haier,325 L,Double Door,,3 Star,no,4.3,225 Ratings,31 Reviews,,yes,1 Year, 10 ,"₹34,990","₹50,990",31% off
321,Haier,355 L,Double Door,,3 Star,no,4.2,"3,133 Ratings",187 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹46,990","₹75,490",37% off
322,Whirlpool,184 L,Single Door, Direct Cool,5 Star,no,4.3,"15,637 Ratings","1,110 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹16,490","₹21,450",23% off
323,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,"25,002 Ratings","2,543 Reviews",Fixed Speed Compressor,yes,1 Year, 10 ,"₹9,990","₹13,490",25% off
324,Godrej,202 L,Single Door, Direct Cool,5 Star,no,4.5,"1,398 Ratings",97 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹18,290","₹27,490",33% off
325,Whirlpool,236 L,Single Door, Direct Cool,4 Star,no,4.3,"15,637 Ratings","1,110 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹20,990","₹27,800",24% off
